id,first_name,last_name,email,password,gross_income,fed_tax,on_tax,cpp,ei,net_income
29,Nil,Lathan,nlathans@usa.gov,Y8uoduaYpLbX,"$38,684.00","$5,803.00","$1,954.00","$2,205.00",$611.00,"$28,112.00"
30,Jessalin,Rawlinson,jrawlinsont@admin.ch,laYBt0XUk3j2,"$160,172.00","$33,499.00","$14,223.00","$3,500.00",$953.00,"$107,997.00"
31,Dougy,Statham,dstathamu@photobucket.com,BVtJun2i6,"$120,951.00","$23,165.00","$9,745.00","$3,500.00",$953.00,"$83,589.00"
32,Hildy,Ciccotto,hciccottov@naver.com,x3weiCA,"$30,507.00","$4,576.00","$1,541.00","$1,739.00",$482.00,"$22,169.00"
33,Drusi,Sahlstrom,dsahlstromw@un.org,4dPY21g4QrWV,"$83,432.00","$14,343.00","$5,739.00","$3,500.00",$953.00,"$58,898.00"
34,Selinda,Armour,sarmourx@amazon.com,WdplmYL,"$29,718.00","$4,458.00","$1,501.00","$1,694.00",$470.00,"$21,596.00"
35,Joscelin,Marsden,jmarsdeny@wordpress.org,sqMPWQaanN7p,"$273,293.00","$68,367.00","$28,512.00","$3,500.00",$953.00,"$171,961.00"
36,Kimmy,Volleth,kvollethz@qq.com,YqwTjpG,"$137,162.00","$27,380.00","$11,554.00","$3,500.00",$953.00,"$93,776.00"
37,Franni,Margerison,fmargerison10@theguardian.com,lq3HLAyAcx,"$182,368.00","$39,936.00","$16,922.00","$3,500.00",$953.00,"$121,058.00"
38,Ringo,Asquith,rasquith11@naver.com,kEDWw3hDbCOE,"$44,065.00","$6,610.00","$2,225.00","$2,512.00",$696.00,"$32,022.00"
39,Tobe,Juggins,tjuggins12@chron.com,uXc3oHzBkSU3,"$232,736.00","$54,983.00","$23,174.00","$3,500.00",$953.00,"$150,126.00"
40,Janot,Ludlam,jludlam13@cdbaby.com,HZXyYuSQzEU,"$54,928.00","$8,499.00","$3,131.00","$3,131.00",$868.00,"$39,299.00"
41,Lura,Llywarch,lllywarch14@hud.gov,FmEphhE,"$243,474.00","$58,527.00","$24,588.00","$3,500.00",$953.00,"$155,907.00"
42,Hanni,Featherstone,hfeatherstone15@indiatimes.com,b21WmWVrWD3,"$54,522.00","$8,416.00","$3,093.00","$3,108.00",$861.00,"$39,043.00"
43,Janeva,Boscher,jboscher16@usda.gov,In7P7nc7O4M0,"$262,809.00","$64,908.00","$27,132.00","$3,500.00",$953.00,"$166,317.00"
44,Wakefield,Linne,wlinne17@istockphoto.com,zDX4NvG,"$243,514.00","$58,540.00","$24,593.00","$3,500.00",$953.00,"$155,928.00"
45,Cassaundra,Rendall,crendall18@boston.com,Wf2kTBjBgB,"$230,380.00","$54,206.00","$22,864.00","$3,500.00",$953.00,"$148,857.00"
46,Creight,Whenham,cwhenham19@vistaprint.com,c5MQFbxHXjG,"$52,701.00","$8,043.00","$2,927.00","$3,004.00",$833.00,"$37,895.00"
47,Shelia,Attkins,sattkins1a@clickbank.net,gN1xCh4GBlxp,"$83,297.00","$14,315.00","$5,726.00","$3,500.00",$953.00,"$58,803.00"
48,Nikolai,Sattin,nsattin1b@ezinearticles.com,CnitbMVcOBK,"$111,161.00","$20,619.00","$8,652.00","$3,500.00",$953.00,"$77,437.00"
49,Nara,Aronstein,naronstein1c@house.gov,8ZBdY4Gl,"$289,285.00","$73,645.00","$30,616.00","$3,500.00",$953.00,"$180,572.00"
50,Anson,Greves,agreves1d@skyrock.com,C7Nj9veA7I,"$175,663.00","$37,991.00","$16,107.00","$3,500.00",$953.00,"$117,112.00"
51,Cristy,Rickeard,crickeard1e@vinaora.com,CoTF0OxtFx,"$224,761.00","$52,352.00","$22,125.00","$3,500.00",$953.00,"$145,832.00"
52,Scottie,Carletto,scarletto1f@hubpages.com,0MYruN,"$156,842.00","$32,533.00","$13,818.00","$3,500.00",$953.00,"$106,038.00"
53,Denny,Mercer,dmercer1g@mlb.com,IGCuNPkAyF,"$254,038.00","$62,013.00","$25,978.00","$3,500.00",$953.00,"$161,595.00"
54,Alta,Attree,aattree1h@weibo.com,k4jnMS,"$29,753.00","$4,463.00","$1,503.00","$1,696.00",$470.00,"$21,622.00"
55,Carolynn,Groom,cgroom1i@xrea.com,7cJnDNugEvep,"$177,078.00","$38,401.00","$16,279.00","$3,500.00",$953.00,"$117,945.00"
56,Pippo,Penwright,ppenwright1j@miibeian.gov.cn,f2HCcQ,"$172,821.00","$37,167.00","$15,761.00","$3,500.00",$953.00,"$115,440.00"
57,Stevana,Izzard,sizzard1k@de.vu,R2vfyL,"$75,179.00","$12,651.00","$4,984.00","$3,500.00",$953.00,"$53,092.00"
58,Stanford,Fritzer,sfritzer1l@oakley.com,UBfjGnSoa5y,"$222,231.00","$51,517.00","$21,792.00","$3,500.00",$953.00,"$144,470.00"
59,Jacinthe,Ramble,jramble1m@msn.com,pH8DvlkDx,"$87,640.00","$15,205.00","$6,124.00","$3,500.00",$953.00,"$61,858.00"
60,Kaleena,Nazer,knazer1n@ihg.com,AU4gs9F,"$172,952.00","$37,205.00","$15,777.00","$3,500.00",$953.00,"$115,517.00"
61,Elisa,O'Fallon,eofallon1o@wikispaces.com,kjxflceQuaQu,"$116,191.00","$21,927.00","$9,213.00","$3,500.00",$953.00,"$80,598.00"
62,Biddie,Doerling,bdoerling1p@webmd.com,GGtNOcS,"$244,643.00","$58,913.00","$24,741.00","$3,500.00",$953.00,"$156,536.00"
63,Sean,Levey,slevey1q@clickbank.net,8FIkGlLUt0iO,"$43,305.00","$6,496.00","$2,187.00","$2,468.00",$684.00,"$31,470.00"
64,Marge,Blare,mblare1r@chronoengine.com,jpxdHn,"$142,237.00","$28,699.00","$12,120.00","$3,500.00",$953.00,"$96,965.00"
65,Roosevelt,Roussell,rroussell1s@virginia.edu,QuN43p,"$238,759.00","$56,971.00","$23,967.00","$3,500.00",$953.00,"$153,368.00"
66,Manolo,Mettrick,mmettrick1t@vimeo.com,202l70iQfr,"$182,414.00","$39,949.00","$16,928.00","$3,500.00",$953.00,"$121,085.00"
67,Clayson,Brinklow,cbrinklow1u@ucoz.com,0uprL0pcVO8D,"$167,995.00","$35,767.00","$15,175.00","$3,500.00",$953.00,"$112,600.00"
68,Kriste,Fremantle,kfremantle1v@adobe.com,I1bsRR5sbE,"$176,528.00","$38,242.00","$16,212.00","$3,500.00",$953.00,"$117,621.00"
69,Gaspar,Neward,gneward1w@ed.gov,7ucbW6nOb,"$279,040.00","$70,264.00","$29,268.00","$3,500.00",$953.00,"$175,056.00"
70,Wandis,McVicker,wmcvicker1x@about.com,iqWNMJamXHvd,"$169,317.00","$36,151.00","$15,335.00","$3,500.00",$953.00,"$113,378.00"
71,Matt,Feuell,mfeuell1y@gnu.org,vykatyW,"$160,460.00","$33,582.00","$14,258.00","$3,500.00",$953.00,"$108,167.00"
72,Hymie,Legat,hlegat1z@mayoclinic.com,9FcZOA,"$296,997.00","$76,190.00","$31,631.00","$3,500.00",$953.00,"$184,724.00"
73,Maynard,Snedker,msnedker20@abc.net.au,iBoeTc,"$32,264.00","$4,840.00","$1,629.00","$1,839.00",$510.00,"$23,446.00"
74,Tulley,Eadmeades,teadmeades21@barnesandnoble.com,r9gYPUkuU,"$40,845.00","$6,127.00","$2,063.00","$2,328.00",$645.00,"$29,682.00"
75,Clarette,Mulvey,cmulvey22@goo.ne.jp,lKpRCkXl,"$105,589.00","$19,171.00","$8,030.00","$3,500.00",$953.00,"$73,936.00"
76,Chloe,McLachlan,cmclachlan23@blogtalkradio.com,xFKTRuZuiE,"$102,301.00","$18,316.00","$7,663.00","$3,500.00",$953.00,"$71,869.00"
77,Allin,Hanhart,ahanhart24@psu.edu,LKSXDvq8,"$196,998.00","$44,178.00","$18,701.00","$3,500.00",$953.00,"$129,666.00"
78,Roslyn,Malthus,rmalthus25@illinois.edu,KCUDJFO,"$136,811.00","$27,288.00","$11,515.00","$3,500.00",$953.00,"$93,555.00"
79,Gaby,Nockalls,gnockalls26@typepad.com,DmcKcbkFE9M,"$221,731.00","$51,352.00","$21,726.00","$3,500.00",$953.00,"$144,200.00"
80,Jimmy,MacAughtrie,jmacaughtrie27@redcross.org,baX2NoWA,"$247,305.00","$59,791.00","$25,092.00","$3,500.00",$953.00,"$157,970.00"
81,Daffie,Balasini,dbalasini28@google.pl,6aAxusByP,"$40,831.00","$6,125.00","$2,062.00","$2,327.00",$645.00,"$29,672.00"
82,Lyn,Scoble,lscoble29@ucoz.ru,P9yl1ztbmJLe,"$128,478.00","$25,122.00","$10,585.00","$3,500.00",$953.00,"$88,319.00"
83,Morey,Wieprecht,mwieprecht2a@dyndns.org,rxbOfXM,"$246,823.00","$59,632.00","$25,028.00","$3,500.00",$953.00,"$157,710.00"
84,Sollie,Carrick,scarrick2b@mail.ru,ymhV4O4drANE,"$291,181.00","$74,270.00","$30,866.00","$3,500.00",$953.00,"$181,592.00"
85,Reinwald,Whyler,rwhyler2c@ebay.co.uk,MDKeQrCeyJs,"$154,867.00","$31,983.00","$13,578.00","$3,500.00",$953.00,"$104,853.00"
86,Bibby,Ayree,bayree2d@fastcompany.com,CkUZzgq,"$27,353.00","$4,103.00","$1,381.00","$1,559.00",$432.00,"$19,877.00"
87,Hulda,McMurthy,hmcmurthy2e@rediff.com,yu8QGxNK,"$87,611.00","$15,199.00","$6,121.00","$3,500.00",$953.00,"$61,838.00"
88,Lucila,Greening,lgreening2f@theguardian.com,2hdLLiNBg5,"$59,493.00","$9,435.00","$3,548.00","$3,391.00",$940.00,"$42,178.00"
89,Noreen,Felgate,nfelgate2g@deviantart.com,KgkH2RoR7WMj,"$81,996.00","$14,048.00","$5,607.00","$3,500.00",$953.00,"$57,888.00"
90,Haley,Yedall,hyedall2h@nps.gov,ntLqI6ufFUAp,"$242,272.00","$58,130.00","$24,429.00","$3,500.00",$953.00,"$155,260.00"
91,Francine,Ive,five2i@noaa.gov,sCrvlqrcJ,"$188,179.00","$41,621.00","$17,629.00","$3,500.00",$953.00,"$124,477.00"
92,Livvie,Prestie,lprestie2j@bbc.co.uk,hqvzACdbNP,"$201,978.00","$45,622.00","$19,307.00","$3,500.00",$953.00,"$132,596.00"
93,Rani,Weerdenburg,rweerdenburg2k@whitehouse.gov,4wL8zWC,"$228,180.00","$53,480.00","$22,575.00","$3,500.00",$953.00,"$147,673.00"
94,Terrance,Gosson,tgosson2l@live.com,NR9hOx,"$155,064.00","$32,034.00","$13,602.00","$3,500.00",$953.00,"$104,975.00"
95,Leodora,Mallinder,lmallinder2m@google.pl,Qjultu,"$97,802.00","$17,289.00","$7,161.00","$3,500.00",$953.00,"$68,900.00"
96,Sephira,Bointon,sbointon2n@a8.net,2RHgFX4fP,"$178,004.00","$38,670.00","$16,392.00","$3,500.00",$953.00,"$118,490.00"
97,Henrietta,Tousey,htousey2o@vkontakte.ru,DtHdS8e,"$124,801.00","$24,166.00","$10,174.00","$3,500.00",$953.00,"$86,008.00"
98,Cynthy,Blunsum,cblunsum2p@wordpress.org,JK8Hap,"$59,478.00","$9,432.00","$3,547.00","$3,390.00",$940.00,"$42,169.00"
99,Ozzie,Renforth,orenforth2q@bloomberg.com,Iy1PEeo6,"$261,977.00","$64,633.00","$27,023.00","$3,500.00",$953.00,"$165,869.00"
100,Leigh,Badsey,lbadsey2r@infoseek.co.jp,pX5ndE3v1E,"$145,770.00","$29,618.00","$12,514.00","$3,500.00",$953.00,"$99,185.00"
101,Olly,Aitken,oaitken2s@ucsd.edu,xLhaVmVco,"$106,416.00","$19,386.00","$8,122.00","$3,500.00",$953.00,"$74,455.00"
102,Nance,Hallihane,nhallihane2t@paypal.com,lSntlwtjSzv,"$234,579.00","$55,592.00","$23,417.00","$3,500.00",$953.00,"$151,118.00"
103,Reagen,Gisburne,rgisburne2u@npr.org,QbI5nVXXWb,"$172,130.00","$36,967.00","$15,677.00","$3,500.00",$953.00,"$115,033.00"
104,Uri,Southerton,usoutherton2v@disqus.com,QbxfcLSeHRMU,"$142,776.00","$28,839.00","$12,180.00","$3,500.00",$953.00,"$97,304.00"
105,Simonne,Casewell,scasewell2w@newsvine.com,bIZKqt3,"$35,582.00","$5,337.00","$1,797.00","$2,028.00",$562.00,"$25,857.00"
106,Barrett,Seif,bseif2x@shinystat.com,SKbgzTOISU,"$74,013.00","$12,412.00","$4,877.00","$3,500.00",$953.00,"$52,272.00"
107,Elenore,Stoves,estoves2y@hugedomains.com,k4Swypa97d6,"$170,824.00","$36,588.00","$15,519.00","$3,500.00",$953.00,"$114,265.00"
108,Sigismondo,Antognozzii,santognozzii2z@hp.com,EmTz000Z,"$199,209.00","$44,819.00","$18,970.00","$3,500.00",$953.00,"$130,967.00"
109,Salvatore,Boothman,sboothman30@360.cn,p0DKYm,"$220,982.00","$51,134.00","$21,628.00","$3,500.00",$953.00,"$143,768.00"
110,Rolando,Messager,rmessager31@sina.com.cn,sR0IxYE,"$174,790.00","$37,738.00","$16,001.00","$3,500.00",$953.00,"$116,599.00"
111,Micheil,Carson,mcarson32@ox.ac.uk,qcO4UeFHX,"$170,830.00","$36,590.00","$15,519.00","$3,500.00",$953.00,"$114,269.00"
112,Dawn,Keyte,dkeyte33@geocities.com,bajSwXXuz,"$81,826.00","$14,013.00","$5,592.00","$3,500.00",$953.00,"$57,768.00"
113,Sybila,Wallman,swallman34@tumblr.com,vPY4FHia,"$128,990.00","$25,255.00","$10,642.00","$3,500.00",$953.00,"$88,641.00"
114,Charlot,Brewett,cbrewett35@walmart.com,JXXxQJq,"$142,529.00","$28,775.00","$12,153.00","$3,500.00",$953.00,"$97,149.00"
115,Addi,Whanstall,awhanstall36@shinystat.com,kvO1mY26LTIi,"$240,042.00","$57,394.00","$24,136.00","$3,500.00",$953.00,"$154,059.00"
116,Adriaens,Ruben,aruben37@tripadvisor.com,Q2tIjVHHJib,"$163,107.00","$34,350.00","$14,580.00","$3,500.00",$953.00,"$109,724.00"
117,Malva,Guiduzzi,mguiduzzi38@goo.ne.jp,5dGXJpXRoja,"$217,970.00","$50,260.00","$21,252.00","$3,500.00",$953.00,"$142,006.00"
118,Keelby,Astman,kastman39@elpais.com,cE97FvOIQ,"$96,344.00","$16,990.00","$6,998.00","$3,500.00",$953.00,"$67,903.00"
119,Saundra,Stot,sstot3a@liveinternet.ru,of8FNUwo,"$168,008.00","$35,771.00","$15,176.00","$3,500.00",$953.00,"$112,608.00"
120,Reeta,Hulks,rhulks3b@youtu.be,vk0mREuaFnZA,"$255,243.00","$62,411.00","$26,136.00","$3,500.00",$953.00,"$162,243.00"
121,Wald,Neames,wneames3c@webeden.co.uk,DPxin0kMp2,"$94,076.00","$16,525.00","$6,745.00","$3,500.00",$953.00,"$66,353.00"
122,Tarah,Jessard,tjessard3d@hostgator.com,uVq8vPF0aGWN,"$80,068.00","$13,653.00","$5,431.00","$3,500.00",$953.00,"$56,531.00"
123,Desmund,McCluney,dmccluney3e@nifty.com,CufMki6s,"$55,312.00","$8,578.00","$3,166.00","$3,153.00",$874.00,"$39,541.00"
124,Skylar,Rugge,srugge3f@sitemeter.com,gI3SvK,"$208,754.00","$47,588.00","$20,131.00","$3,500.00",$953.00,"$136,583.00"
125,Shannon,Aizikovitz,saizikovitz3g@histats.com,OzriphLt,"$206,068.00","$46,809.00","$19,804.00","$3,500.00",$953.00,"$135,003.00"
126,Lurlene,Blodgetts,lblodgetts3h@diigo.com,ZNgpgySq,"$273,030.00","$68,280.00","$28,477.00","$3,500.00",$953.00,"$171,820.00"
127,Benedetta,Cescoti,bcescoti3i@hao123.com,dCEyAU4J,"$179,326.00","$39,053.00","$16,552.00","$3,500.00",$953.00,"$119,268.00"
128,Rosita,Delgadillo,rdelgadillo3j@feedburner.com,B71ApbBsEF9Z,"$62,168.00","$9,984.00","$3,793.00","$3,500.00",$953.00,"$43,939.00"
129,Manfred,Dalglish,mdalglish3k@cloudflare.com,BIjZo3fNHcN,"$109,339.00","$20,146.00","$8,449.00","$3,500.00",$953.00,"$76,292.00"
130,Adrian,McMillam,amcmillam3l@hud.gov,UNWs1fLD,"$61,460.00","$9,838.00","$3,728.00","$3,500.00",$953.00,"$43,441.00"
131,Earl,Boorman,eboorman3m@chicagotribune.com,TQaljS,"$205,304.00","$46,587.00","$19,711.00","$3,500.00",$953.00,"$134,553.00"
132,Filippo,Varden,fvarden3n@people.com.cn,Oa2B5tC,"$233,091.00","$55,101.00","$23,221.00","$3,500.00",$953.00,"$150,317.00"
133,Vassily,Maylard,vmaylard3o@deviantart.com,bjHS10,"$163,940.00","$34,591.00","$14,682.00","$3,500.00",$953.00,"$110,214.00"
134,Clarke,Hounsome,chounsome3p@statcounter.com,hOQg4yDlzwi,"$136,619.00","$27,239.00","$11,493.00","$3,500.00",$953.00,"$93,435.00"
135,Baird,Dudmarsh,bdudmarsh3q@altervista.org,2VHlTqY1,"$161,216.00","$33,801.00","$14,350.00","$3,500.00",$953.00,"$108,612.00"
136,Shaylah,Trynor,strynor3r@imdb.com,zVzQVpSiGS,"$65,793.00","$10,727.00","$4,125.00","$3,500.00",$953.00,"$46,489.00"
137,Zorah,Mincher,zmincher3s@sciencedaily.com,9AHay6s4Y,"$152,149.00","$31,276.00","$13,248.00","$3,500.00",$953.00,"$103,172.00"
138,Paxon,Morstatt,pmorstatt3t@ebay.co.uk,zaXXklvwA,"$93,987.00","$16,507.00","$6,735.00","$3,500.00",$953.00,"$66,293.00"
139,Roldan,Geake,rgeake3u@si.edu,tRHgooq6b,"$37,877.00","$5,682.00","$1,913.00","$2,159.00",$598.00,"$27,525.00"
140,Humberto,Schild,hschild3v@usnews.com,rBn5Df9zUl,"$181,932.00","$39,809.00","$16,869.00","$3,500.00",$953.00,"$120,801.00"
141,Kattie,Ranscome,kranscome3w@webs.com,7sakUPcELGb4,"$50,447.00","$7,581.00","$2,721.00","$2,875.00",$797.00,"$36,473.00"
142,Conroy,Lusted,clusted3x@ftc.gov,dWxPmru,"$87,477.00","$15,172.00","$6,109.00","$3,500.00",$953.00,"$61,744.00"
143,Orelie,Musgrave,omusgrave3y@quantcast.com,sahrzY,"$268,958.00","$66,937.00","$27,941.00","$3,500.00",$953.00,"$169,628.00"
144,Barbabra,Tukesby,btukesby3z@jalbum.net,BurSUN,"$112,475.00","$20,961.00","$8,799.00","$3,500.00",$953.00,"$78,263.00"
145,Brit,Fawlo,bfawlo40@posterous.com,F5JD53XKxXh,"$267,642.00","$66,502.00","$27,768.00","$3,500.00",$953.00,"$168,919.00"
146,Walden,Sex,wsex41@slate.com,iMjjO6LGn,"$255,544.00","$62,510.00","$26,176.00","$3,500.00",$953.00,"$162,405.00"
147,Waneta,Dureden,wdureden42@nyu.edu,mLkFkVD2vEGC,"$99,319.00","$17,600.00","$7,330.00","$3,500.00",$953.00,"$69,936.00"
148,Shelby,Jurek,sjurek43@cloudflare.com,kjhUP4qlZ,"$202,468.00","$45,765.00","$19,367.00","$3,500.00",$953.00,"$132,884.00"
149,Malanie,Bezant,mbezant44@nydailynews.com,VRYbcx,"$208,535.00","$47,524.00","$20,104.00","$3,500.00",$953.00,"$136,454.00"
150,Bil,Paver,bpaver45@eepurl.com,ykACLHI,"$169,695.00","$36,260.00","$15,381.00","$3,500.00",$953.00,"$113,601.00"
151,Boothe,MacKegg,bmackegg46@is.gd,BYVpf70CAJrR,"$291,723.00","$74,449.00","$30,937.00","$3,500.00",$953.00,"$181,884.00"
152,Retha,Griss,rgriss47@digg.com,Ly1t4Rst7Mg8,"$220,710.00","$51,055.00","$21,592.00","$3,500.00",$953.00,"$143,611.00"
153,Celinda,Flatley,cflatley48@senate.gov,gVX2XBlDfmgY,"$232,792.00","$55,002.00","$23,182.00","$3,500.00",$953.00,"$150,156.00"
154,Graeme,Macvey,gmacvey49@ovh.net,992IBoU,"$282,300.00","$71,340.00","$29,697.00","$3,500.00",$953.00,"$176,811.00"
155,Harley,Melsome,hmelsome4a@wikipedia.org,eWVa6IwPWR,"$27,299.00","$4,095.00","$1,379.00","$1,556.00",$431.00,"$19,838.00"
156,Drucy,Teck,dteck4b@mit.edu,jwORMRBnkPTQ,"$114,833.00","$21,574.00","$9,062.00","$3,500.00",$953.00,"$79,745.00"
157,Gib,Reiling,greiling4c@liveinternet.ru,ONyyUTX,"$298,122.00","$76,561.00","$31,779.00","$3,500.00",$953.00,"$185,329.00"
158,Rhea,Shapcott,rshapcott4d@goodreads.com,3ccL9k,"$286,518.00","$72,731.00","$30,252.00","$3,500.00",$953.00,"$179,082.00"
159,Cheryl,Bonnett,cbonnett4e@cbsnews.com,TftFPlCN,"$197,885.00","$44,436.00","$18,809.00","$3,500.00",$953.00,"$130,188.00"
160,Abra,Mawhinney,amawhinney4f@constantcontact.com,sViYyBtuuWV,"$27,495.00","$4,124.00","$1,388.00","$1,567.00",$434.00,"$19,981.00"
161,Trever,Baysting,tbaysting4g@yale.edu,SE9CXlhC,"$240,725.00","$57,620.00","$24,226.00","$3,500.00",$953.00,"$154,427.00"
162,Anna-diane,Skelhorn,askelhorn4h@army.mil,ONeB6BrIO,"$35,624.00","$5,344.00","$1,799.00","$2,031.00",$563.00,"$25,888.00"
163,Charmane,Rosie,crosie4i@youtube.com,R1ankcQC0,"$288,726.00","$73,460.00","$30,543.00","$3,500.00",$953.00,"$180,271.00"
164,Allyn,MacWilliam,amacwilliam4j@rediff.com,GZqd417q,"$116,336.00","$21,965.00","$9,230.00","$3,500.00",$953.00,"$80,689.00"
165,Zebulon,Wayon,zwayon4k@bizjournals.com,TMiKEibxuLt6,"$166,262.00","$35,265.00","$14,964.00","$3,500.00",$953.00,"$111,581.00"
166,Crawford,Burnhams,cburnhams4l@hp.com,n1ztJjlQu6K6,"$295,059.00","$75,550.00","$31,376.00","$3,500.00",$953.00,"$183,680.00"
167,Kay,Henrot,khenrot4m@csmonitor.com,7eViDMUs9,"$188,629.00","$41,751.00","$17,684.00","$3,500.00",$953.00,"$124,741.00"
168,Sashenka,Fenix,sfenix4n@goo.ne.jp,KPr0jT1ijGK,"$126,360.00","$24,571.00","$10,348.00","$3,500.00",$953.00,"$86,988.00"
169,Sharyl,Crossland,scrossland4o@techcrunch.com,IUjzCFCRm7Z,"$259,469.00","$63,805.00","$26,693.00","$3,500.00",$953.00,"$164,519.00"
170,Silas,Skinn,sskinn4p@zimbio.com,VEpGM15GVm2,"$72,638.00","$12,130.00","$4,751.00","$3,500.00",$953.00,"$51,304.00"
171,Willy,Nancekivell,wnancekivell4q@nyu.edu,VvrhDqs4,"$190,377.00","$42,258.00","$17,896.00","$3,500.00",$953.00,"$125,770.00"
172,Neil,Janisson,njanisson4r@mashable.com,0bRYMqRwt,"$31,456.00","$4,718.00","$1,589.00","$1,793.00",$497.00,"$22,859.00"
173,Matilde,Maddy,mmaddy4s@hatena.ne.jp,h6MgeKtIbaI,"$133,355.00","$26,390.00","$11,129.00","$3,500.00",$953.00,"$91,384.00"
174,Jeffy,Outhwaite,jouthwaite4t@topsy.com,YxXl7FuK4b,"$120,685.00","$23,096.00","$9,715.00","$3,500.00",$953.00,"$83,422.00"
175,Vaughan,Gimson,vgimson4u@weibo.com,SaZKf7,"$56,722.00","$8,867.00","$3,295.00","$3,233.00",$896.00,"$40,431.00"
176,Bond,Gaitskell,bgaitskell4v@oracle.com,E6tOqtL6q8oH,"$95,265.00","$16,768.00","$6,878.00","$3,500.00",$953.00,"$67,166.00"
